SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE
JAMNAAUTO,Suspension,132.57,0.017968210089841063,0.2102428336680664,0.457293613279103,0.322328865578257,0.46116181954798985,47.25532330533308,60.0,48.3,2026-03-06
JBMA,Other,521.9,-0.12703855482144355,-0.1726379201014584,-0.1319028609447772,-0.2668676086456232,-0.12803465467589037,22.33890214797134,20.0,56.91,2026-03-06
JTEKTINDIA,Steering/Bearings,131.86,-0.08955326935027275,-0.16697201339313905,0.05353147970597649,-0.0814332679948695,0.057399685974863335,42.57309941520469,40.0,51.54,2026-03-06
LUMAXIND,Lighting,5576.5,0.05385996409335725,0.09082195532256176,0.6683120923831749,0.5333473446823289,0.6721802986520617,33.83625351503353,50.0,57.69,2026-03-06
LUMAXTECH,Lighting,1531.9,0.0025523560209423923,0.12087510060730233,0.4965806955842127,0.3616159478833667,0.5004489018530995,42.364206702988284,40.0,54.51,2026-03-06
MINDACORP,Electrical,520.95,-0.1048969072164948,-0.1248215035699285,0.10522965948870278,-0.029735088212143213,0.10909786575758962,16.601647160814906,20.0,49.42,2026-03-06
MENONBE,Bearings,117.49,-0.0227083679920147,0.017493721312895172,-0.11674936099834621,-0.2517141086991922,-0.11288115472945937,48.87186036611323,40.0,52.38,2026-03-06
MSUMI,Electrical,41.27,-0.09016754850088171,-0.14766625361420893,0.0900686740623351,-0.04489607363851089,0.09393688033122194,37.97468354430387,30.0,48.99,2026-03-06
NDRAUTO,Other,717.0,-0.020759355367386045,-0.16482236458940014,-0.2543289480526233,-0.3892936957534693,-0.25046074178373645,45.50706033376123,40.0,47.86,2026-03-06
PRICOLLTD,Electrical,565.8,-0.024987075650525603,-0.10446343779677114,0.31657940663176265,0.18161465893091666,0.3204476129006495,27.457514161945994,20.0,49.98,2026-03-06
RANEENGINE,Engine/Parts,317.75,0.17903525046382196,-0.156154561147258,-0.2401052253975846,-0.3750699730984306,-0.23623701912869777,63.3225806451613,80.0,50.88,2026-03-06
RICOAUTO,Castings,113.3,-0.13352707249923523,0.005591550545841706,0.494525788154597,0.35956104045375104,0.49839399442348387,39.08828923238146,30.0,49.07,2026-03-06
SANDHAR,Other,498.1,-0.0935395814376706,-0.09854311826983975,0.19434120609039685,0.05937645838955086,0.1982094123592837,36.03682595352917,30.0,47.8,2026-03-06
SANSERA,Forgings,2197.7,0.1565016050097352,0.42071239252698933,0.723821476194211,0.588856728493365,0.7276896824630978,46.039603960396015,60.0,48.59,2026-03-06
SHARDAMOTR,Transmission,830.85,-0.09582109043421483,-0.1528853996737357,-0.20156640399769354,-0.33653115169853953,-0.1976981977288067,29.82805429864254,20.0,49.87,2026-03-06
SHRIPISTON,Engine/Parts,2928.7,-0.058204971540663064,0.07400344713777529,0.20438376444462714,0.06941901674378115,0.20825197071351398,39.471186440677954,30.0,48.69,2026-03-06
SSWL,Wheels,195.74,-0.09892740413386725,-0.04842002916869215,-0.08830926874708889,-0.22327401644793488,-0.08444106247820204,22.197078790372373,20.0,45.44,2026-03-06
SUNDRMFAST,Fasteners,848.4,-0.10732323232323238,-0.13846153846153852,-0.10036583426117385,-0.23533058196201984,-0.096497627992287,26.14439324116745,20.0,48.05,2026-03-06
SUNDRMBRAK,Brakes,594.75,0.012340425531914834,-0.21084057586412785,-0.23945012787723785,-0.37441487557808384,-0.235581921608351,40.331491712707184,40.0,47.66,2026-03-06
SUPRAJIT,Cables,425.35,-0.10168954593453006,-0.0951925122314401,-0.03461189287335453,-0.16957664057420052,-0.03074368660446769,45.54455445544556,40.0,51.48,2026-03-06
TALBROAUTO,Gaskets,240.95,-0.09874696091266144,-0.14480922803904173,-0.061903834923107026,-0.19686858262395301,-0.058035628654220184,19.35714285714286,20.0,47.2,2026-03-06
UCAL,Fuel Systems,100.25,-0.11275334100362855,-0.19296409595878283,-0.299147091722595,-0.434111839423441,-0.2952788854537082,19.275700934579476,20.0,59.6,2026-03-06
VARROC,Lighting,514.65,-0.16167128196774716,-0.19333855799373045,-0.009621860867891852,-0.14458660856873784,-0.005753654599005009,28.319919517102647,20.0,49.61,2026-03-06
WHEELS,Wheels,880.25,0.02700968381752422,-0.014332904092715926,0.20681381957773515,0.07184907187688916,0.210682025846622,53.795740032768975,60.0,46.83,2026-03-06
ZFCVINDIA,Brakes/Transmission,14376.0,-0.062047367390878794,0.13815216530757657,0.044539707912519155,-0.09042503978832683,0.048407914181406,26.40127388535032,20.0,50.29,2026-03-06
